"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"quit_thread","004377c4","Data Label","Global","User Defined","2","0"
"hThread","004377c8","Data Label","Global","User Defined","2","0"
"lock1","004377cc","Data Label","Global","User Defined","9","0"
"len1","004377d0","Data Label","Global","User Defined","8","0"
"lock2","004377d4","Data Label","Global","User Defined","9","0"
"len2","004377d8","Data Label","Global","User Defined","8","0"
"play_cursor","004377e0","Data Label","Global","User Defined","3","0"
"last_ofs","004377e4","Data Label","Global","User Defined","3","0"
"thread_param","004377e8","Data Label","Global","User Defined","2","0"
"Rsrc_Dialog_OURDIALOG_0","004c906c","Data Label","Global","Imported","0","0"
